[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002676s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003354s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002955s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003625s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | NOTIC: [8] Undefined index:  title IndexAction.class.php 第 15 行.
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002787s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003566s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.158722s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.159543s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.003081s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.003535s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.014861s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004067s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.027379s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002277s ]
[ 2013-08-10T12:46:18+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003024s ]
[ 2013-08-10T12:46:19+08:00 ] /2013-8/tpm/tpm/Tpl/Public/metro/img/thumbnail_george2.jpg | ERR: (ThinkException) 无法加载模块tpm
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ route_check ] --START--
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run CheckRoute Behavior [ RunTime:0.001264s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001969s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ app_begin ] --START--
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001657s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002355s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ action_begin ] --START--
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002413s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003060s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | NOTIC: [8] Undefined index:  title IndexAction.class.php 第 33 行.
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_template ] --START--
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run LocationTemplate Behavior [ RunTime:0.005013s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.005760s ]
[ 2013-08-10T12:46:20+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_parse ] --START--
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run ParseTemplate Behavior [ RunTime:0.238895s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.239554s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_filter ] --START--
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run ContentReplace Behavior [ RunTime:0.003263s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run TokenBuild Behavior [ RunTime:0.003286s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002901s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run ShowRuntime Behavior [ RunTime:0.006167s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017515s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_end ] --START--
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.004974s ]
[ 2013-08-10T12:46:21+08:00 ] /2013-8/tpm/Index/read.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.005645s ]
[ 2013-08-10T12:46:22+08:00 ] /2013-8/tpm/tpm/Tpl/Public/metro/sass/font/fontawesome-webfont.woff | ERR: (ThinkException) 无法加载模块tpm
[ 2013-08-10T12:46:22+08:00 ] /2013-8/tpm/tpm/Tpl/Public/sass/font/fontawesome-webfont.ttf | ERR: (ThinkException) 无法加载模块tpm
[ 2013-08-10T12:46:22+08:00 ] /2013-8/tpm/tpm/Tpl/Public/metro/sass/font/fontawesome-webfont.svg | ERR: (ThinkException) 无法加载模块tpm
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003662s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004490s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.002972s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.003697s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | NOTIC: [8] Undefined index:  title IndexAction.class.php 第 15 行.
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002984s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003673s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.079995s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.080654s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.003882s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.002963s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002116s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003281s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014180s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001883s ]
[ 2013-08-10T13:55:19+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002483s ]
