[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --START--
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005313s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005963s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --START--
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run SwitchMobileTpl Behavior [ RunTime:0.004805s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ action_begin ] --END-- [ RunTime:0.005487s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --START--
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005343s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006096s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --START--
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run ParseTemplate Behavior [ RunTime:0.127151s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.127792s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --START--
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run ContentReplace Behavior [ RunTime:0.005401s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run TokenBuild Behavior [ RunTime:0.007338s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003990s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Run ShowRuntime Behavior [ RunTime:0.006066s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.024591s ]
[ 2013-08-09T09:12:37+08:00 ] /2013-8/tpm/ | INFO: Tag[ view_end ] --START--
